,player_name,birth_year,birthplace,popularity
3556,Blake Ahearn,1984,St. Louis,14
3557,Jackie Robinson,1955,Los Angeles,7
3558,Mark Randall,1967,Edina,10
3559,Donnie Butcher,1936,Williamsport,9
3560,Scott Haskin,1970,Beaumont,8
3561,Levent Topsakal,1966,Istanbul,6
3562,Chris Smith,1970,Bridgeport,9
3563,Eric Riley,1970,Cleveland,7
3564,Donald Royal,1966,New Orleans,7
3565,Saša Vasiljević,1979,Osijek,9
3566,Jack Haley,1964,Long Beach,13
3567,Gerald Glass,1967,Greenwood,8
3568,Dontae' Jones,1975,Nashville,6
3569,Tony White,1965,Charlotte,8
3570,Vicky Bullett,1967,Martinsburg,15
3571,Greg Anthony,1967,Las Vegas,15
3572,Michael Smith,1972,"Washington, D.C.",7
3573,Greg Wiltjer,1960,Whitehorse,7
3574,Marv Winkler,1948,Indianapolis,7
3575,Mike Glenn,1955,Rome,8
3576,Fatih Solak,1980,Kayseri,6
3577,Cincy Powell,1942,Baton Rouge,9
3578,Immanuel McElroy,1980,Galveston,10
3579,Charles Smith,1967,"Washington, D.C.",13
3580,Corky Calhoun,1950,Waukegan,9
3581,Lucio Angulo,1973,Zaragoza,11
3582,Satch Sanders,1938,New York City,18
3583,Bobby Cook,1923,Harvard,6
3584,Kermit Washington,1951,"Washington, D.C.",15
3585,Giorgos Bartzokas,1965,Athens,16
3586,Craig Dykema,1959,Lakewood,6
3587,Russell Carter,1985,Frankfurt,5
3588,Brandon Knight,1991,Fort Lauderdale,21
3589,Vlado Šćepanović,1975,Kolašin,12
3590,Matt Bullard,1967,Des Moines,9
3591,Erwin Righter,1897,Campbell,10
3592,Austin Carr,1948,"Washington, D.C.",15
3593,Walter Sharpe,1986,Huntsville,10
3594,Carlos Andrade,1978,Sal,8
3595,George Dixon,1901,Vallejo,9
3596,Winston Bennett,1965,Louisville,8
3597,Petra Kulichová,1984,Pardubice,11
3598,Elmer Bennett,1970,Evanston,15
3599,Daniel Hackett,1987,Forlimpopoli,19
3600,Nick Calathes,1989,Casselberry,25
3601,Billy Donovan,1965,Rockville Centre,17
3602,Haris Mujezinović,1974,Visoko,7
3603,Paul Tagliabue,1940,Jersey City,9
3604,Shelden Williams,1983,Oklahoma City,16
3605,Barry Leibowitz,1945,New York City,6
3606,Troy Bell,1980,Minneapolis,12
3607,Oliver Miller,1970,Fort Worth,8
3608,James Bausch,1906,Marion,18
3609,Lewis Lloyd,1959,Philadelphia,6
3610,Terrence Ross,1991,Portland,22
3611,Don Carlos,1944,Columbus,5
3612,Julius Peppers,1980,Wilson,9
3613,Hugo del Vecchio,1928,Rosario,6
3614,Steve Bracey,1950,Brooklyn,10
3615,Walt Davis,1931,Beaumont,20
3616,Kim Butler,1982,Tacoma,6
3617,Wlamir Marques,1937,São Vicente,14
3618,Mike James,1975,Amityville,14
3619,Rafael Rullan,1952,Palma de Mallorca,8
3620,Robert Hawkins,1954,Detroit,5
3621,Luc-Arthur Vebobe,1980,Antibes,5
3622,Louie Nelson,1951,Los Angeles,5
3623,Jesús Olmos,1910,Chihuahua City,12
3624,Ted Luckenbill,1939,Elkhart,7
3625,Billy Owens,1969,Carlisle,15
3626,Gary Bergen,1932,Independence,7
3627,Jorge Canavesi,1920,Barracas,6
3628,Marko Milič,1977,Kranj,15
3629,Cenk Akyol,1987,Istanbul,15
3630,Lloyd Walton,1953,Chicago,5
3631,Oded Kattash,1974,Givatayim,13
3632,Rachael Vanderwal,1983,Burlington,7
3633,Tony Costner,1962,Philadelphia,6
3634,Dee Gibson,1923,Cleveland,6
3635,Keith Jennings,1968,Culpeper,11
3636,Quincy Douby,1984,Brooklyn,10
3637,Maurice Martin,1964,Liberty,6
3638,Sean Elliott,1968,Tucson,21
3639,Sergei Chikalkin,1975,Samara,8
3640,Chuck Cooper,1926,Pittsburgh,17
3641,Tatiana Shchegoleva,1982,Moscow,14
3642,Marta Fernández,1981,Barcelona,11
3643,Dimitris Papadopoulos,1966,Thessaloniki,7
3644,Bryce Taylor,1986,Encino,8
3645,Cedric Ceballos,1969,Maui,18
3646,Joe Wolf,1964,Kohler,7
3647,Courtney Fortson,1988,Montgomery,15
3648,Alex Tyus,1988,Abilene,16
3649,Nikos Boudouris,1971,Volos,8
3650,Johnny Jones,1943,"Washington, D.C.",8
3651,Chucky Atkins,1974,Orlando,20
3652,Vlada Jovanović,1973,Čačak,5
3653,Joe Kennedy,1947,Bowie,7
3654,Maurice Stokes,1933,Pittsburgh,18
3655,Angelo Cruz,1958,San Juan,7
3656,Malik Allen,1978,Willingboro Township,15
3657,Trey Gilder,1985,Dallas,8
3658,Jón Arnór Stefánsson,1982,Reykjavík,14
3659,Phil Ford,1956,Rocky Mount,16
3660,Vilis Krištopans,1954,Q25726200,17
3661,Eddie Griffin,1982,Philadelphia,16
3662,Larry Stewart,1968,Philadelphia,7
3663,Mike Whitmarsh,1962,San Diego,11
3664,Ranko Žeravica,1929,Novo Miloševo,16
3665,Lauren Ervin,1985,Inglewood,6
3666,Joe Lapchick,1900,Yonkers,11
3667,Glen Gondrezick,1955,Boulder,6
3668,Marko Kešelj,1988,Belgrade,17
3669,Dan Gadzuric,1978,The Hague,16
3670,Chris Mihm,1979,Milwaukee,17
3671,Kerem Tunçeri,1979,Istanbul,15
3672,Sonja Henning,1969,Jackson,7
3673,Donnell Harvey,1980,Shellman,11
3674,Moran Roth,1982,Ashdod,11
3675,John Korfas,1962,Akron,8
3676,Jason Maxiell,1983,Chicago,18
3677,Luca Ivanković,1987,Split,12
3678,Earl Barron,1981,Clarksdale,14
3679,Travis Best,1972,Springfield,12
3680,Isaac Austin,1969,Gridley,11
3681,Fabrizio Della Fiori,1951,Formigara,12
3682,Vanya Voynova,1934,Sofia,9
3683,Dewarick Spencer,1982,Mobile,8
3684,Tom Gugliotta,1969,New York City,15
3685,Shaun Stonerook,1977,Columbus,10
3686,Rubén Wolkowyski,1973,Juan José Castelli,20
3687,Marco Carraretto,1977,Treviso,10
3688,Albert Homs i Aguilar,1994,Mataró,5
3689,Renzo Vecchiato,1955,Trieste,12
3690,Lee Nailon,1975,South Bend,8
3691,Travis Outlaw,1984,Starkville,17
3692,Meir Tapiro,1975,Haifa,6
3693,Mouhamed Sene,1986,Thiès,7
3694,Renato Villalta,1955,Maserada sul Piave,11
3695,Ibrahim Jaaber,1984,Brooklyn,11
3696,Makan Dioumassi,1972,Paris,12
3697,Deji Akindele,1983,Lagos,8
3698,Aleksandar Radojević,1976,Herceg Novi,9
3699,Rick Apodaca,1980,North Bergen,8
3700,Tariq Kirksay,1979,The Bronx,9
3701,Clarence Weatherspoon,1970,Crawford,10
3702,Charles Smith,1965,Bridgeport,14
3703,Sandis Valters,1978,Riga,9
3704,Henry Williams,1970,Indianapolis,10
3705,Ognjen Aškrabić,1979,Sarajevo,9
3706,Eurelijus Žukauskas,1973,Klaipėda,20
3707,Jaren Jackson,1967,New Orleans,10
3708,Tarence Kinsey,1984,Tampa,15
3709,Kent Benson,1954,New Castle,16
3710,Carlos Loyzaga,1930,Manila,15
3711,"Kees Akerboom, Jr.",1983,Sint-Michielsgestel,8
3712,Scotty Baesler,1941,Lexington,6
3713,Gunta Baško,1980,Olaine,10
3714,Ronnie Price,1983,Friendswood,17
3715,Tye Fields,1975,Missoula,7
3716,Sergiy Gladyr,1988,Mykolaiv,19
3717,Gordan Giriček,1977,Zagreb,22
3718,Odyssey Sims,1992,Irving,11
3719,Joaquim Gomes,1980,Luanda,8
3720,Paccelis Morlende,1981,Creil,10
3721,Anđa Jelavić,1980,Tomislavgrad,9
3722,Óscar Torres,1976,Caracas,7
3723,Sandra Mandir,1977,Zagreb,10
3724,James Stewart,1910,Kingsville,13
3725,Uroš Slokar,1983,Ljubljana,17
3726,Mario Austin,1982,Livingston,11
3727,Deji Akindele,1983,Abeokuta,8
3728,Andrew DeClercq,1973,Detroit,9
3729,Sergei Panov,1970,Ryazan,10
3730,Frank Johnson,1958,Weirsdale,10
3731,Ana Lelas,1983,Split,10
3732,Eduardo Mingas,1979,Luanda,10
3733,Giorgos Printezis,1985,Syros,21
3734,Zoran Savić,1966,Zenica,20
3735,Laurie Koehn,1982,Newton,9
3736,Mindaugas Katelynas,1983,Alytus,10
3737,Anastasia Kostaki,1978,Athens,8
3738,Reece Gaines,1981,Madison,11
3739,Veljko Mršić,1971,Split,15
3740,René Aerts,1937,Antwerp,5
3741,Ernie DiGregorio,1951,North Providence,13
3742,Romeo Sacchetti,1953,Altamura,14
3743,Ömer Onan,1978,Mersin,16
3744,Aneika Henry,1986,Jamaica,7
3745,Gerald Wilkins,1963,Atlanta,10
3746,Mladen Šekularac,1981,Bar,8
3747,Stacey Augmon,1968,Pasadena,23
3748,Domen Lorbek,1985,Kranj,13
3749,Marcus Morris Sr.,1989,Philadelphia,23
3750,Sandro Gamba,1932,Milan,10
3751,Dror Hajaj,1978,Rishon LeZion,8
3752,Ann Meyers,1955,San Diego,15
3753,Jurij Pavlov,1952,Tomsk,7
3754,Jason Caffey,1973,Tuscaloosa,13
3755,Todd MacCulloch,1976,Winnipeg,11
3756,Oğuz Savaş,1987,Balıkesir,14
3757,Greg Kite,1961,Houston,9
3758,Santi Abad,1969,Barcelona,7
3759,Julius Hodge,1983,New York City,9
3760,Bryant Reeves,1973,Fort Smith,14
3761,Janice Lawrence Braxton,1962,Lucedale,14
3762,Kaspars Kambala,1978,Riga,20
3763,Tamar Slay,1980,Beckley,8
3764,Kaya Peker,1980,Ankara,9
3765,Carlos Almeida,1976,Luanda,8
3766,Jake Voskuhl,1977,Tulsa,9
3767,Augusto Binelli,1964,Carrara,6
3768,Mel Counts,1941,Coos Bay,15
3769,Randy Brown,1968,Chicago,14
3770,Leo Mogus,1921,Youngstown,7
3771,Kosta Perović,1985,Osijek,19
3772,Kiwane Garris,1974,Chicago,8
3773,Ajmer Singh Chopra,1953,,6
3774,Cindy Lima,1981,Barcelona,11
3775,Ondřej Starosta,1979,Prague,8
3776,Vernon Maxwell,1965,Gainesville,13
3777,Mike Bantom,1951,Philadelphia,16
3778,Kostas Vasileiadis,1984,Thessaloniki,16
3779,Greer Skousen,1916,Casas Grandes,11
3780,Michele Mian,1973,Gorizia,12
3781,Asım Pars,1976,Tuzla,9
3782,Carl Shy,1908,Los Angeles,17
3783,Dario Šarić,1994,Šibenik,28
3784,Alessandro Abbio,1971,Racconigi,11
3785,Roy Tarpley,1964,New York City,20
3786,Anatoli Polivoda,1947,Yenakiieve,15
3787,Ivan Edeshko,1945,S′tsyatski,21
3788,Aramis Naglić,1965,Rijeka,16
3789,Ralph Beard,1927,Hardinsburg,22
3790,Adriana Moisés Pinto,1978,Franca,15
3791,Bill Wheatley,1909,Gypsum,15
3792,Cliff Barker,1921,Muncie,19
3793,Jeremy Lamb,1992,Norcross,20
3794,Happy Hairston,1942,Winston-Salem,11
3795,Jon Koncak,1963,Cedar Rapids,16
3796,Guillermo Diaz,1985,San Juan,9
3797,Andrés Jiménez Fernández,1962,Carmona,12
3798,Vaughn Duggins,1987,Fort Wayne,7
3799,Qyntel Woods,1981,Memphis,11
3800,Sergei Lishouk,1982,Rivne,14
3801,Andrew Goudelock,1988,Stone Mountain,19
3802,Ralph Bishop,1915,Brooklyn,18
3803,Kerry Kittles,1974,Dayton,14
3804,Steven Hunter,1981,Chicago,13
3805,Jana Veselá,1983,Prague,12
3806,Swen Nater,1950,Den Helder,14
3807,Ermal Kuqo,1980,Korçë,10
3808,Serge Zwikker,1973,Vlaardingen,10
3809,Vinko Jelovac,1948,Pazin,16
3810,Mamadou N'Diaye,1975,Dakar,9
3811,Willard Schmidt,1910,Swanton,16
3812,Edward Dawson,1907,Alford,12
3813,Zurab Sakandelidze,1945,Kutaisi,16
3814,Olga Sukharnova,1955,Krasnoyarsk,12
3815,Devin Smith,1983,New Castle,14
3816,Carl Knowles,1910,San Diego,17
3817,Radisav Ćurčić,1965,Čačak,10
3818,Eric Piatkowski,1970,Steubenville,12
3819,Yakhouba Diawara,1982,Paris,14
3820,Valery Goborov,1966,Kherson,12
3821,Josh Boone,1984,Mount Airy,14
3822,Lazar Hayward,1986,Buffalo,11
3823,André Buffière,1922,Vion,16
3824,Tex Gibbons,1907,Elk City,17
3825,Tony Battie,1976,Dallas,15
3826,Travis Knight,1974,Salt Lake City,10
3827,Torrell Martin,1985,Columbia,5
3828,Joe Fortenberry,1911,Slidell,16
3829,Francis Johnson,1910,Hartford,16
3830,Maigonis Valdmanis,1933,Riga,16
3831,Sean Marks,1975,Auckland,17
3832,Rashad McCants,1984,Asheville,11
3833,Chuck Chapman,1911,Vancouver,12
3834,Sinan Güler,1983,Istanbul,16
3835,Art Mollner,1912,Saranac Lake,16
3836,Algodão,1925,Rio de Janeiro,14
3837,Anthony Johnson,1974,Charleston,11
3838,Wayne Simien,1983,Leavenworth,12
3839,Joseph Gomis,1978,Évreux,10
3840,Jeremy Tyler,1991,San Diego,13
3841,Marlou Aquino,1972,Santa Barbara,5
3842,Scott Burrell,1971,New Haven,14
3843,Éric Struelens,1969,Watermael-Boitsfort / Watermaal-Bosvoorde,10
3844,Viktor Vlasov,1925,Moscow,13
3845,Loukas Mavrokefalidis,1984,Jeseník,15
3846,Craig Ehlo,1961,Lubbock,11
3847,Travis Watson,1981,San Antonio,9
3848,Evan Fournier,1992,Saint-Maurice,32
3849,Natalia Vodopyanova,1981,Saint Petersburg,16
3850,Hassan Adams,1984,Inglewood,13
3851,Petar Skansi,1943,Sumartin,18
3852,Sam Vincent,1963,Lansing,11
3853,Malcolm Wiseman,1913,Winnipeg,13
3854,Brian Shaw,1966,Oakland,17
3855,Irina Sokolovskaya,1983,Vologda,14
3856,Olga Arteshina,1982,Samara,16
3857,Yaroslav Korolev,1987,Moscow,10
3858,Andrés Gómez,1913,Guadalajara,13
3859,Brevin Knight,1975,Livingston,15
3860,Virginijus Praškevičius,1974,Kaunas,9
3861,Fennis Dembo,1966,Mobile,10
3862,Mike Woodson,1958,Indianapolis,19
3863,Bruno Šundov,1980,Split,12
3864,Coby Karl,1983,Great Falls,12
3865,Richard Dacoury,1959,Abidjan,10
3866,Kipp Christianson,1974,Wisconsin,7
3867,Francisco Martínez,1910,Ciudad Juárez,12
3868,Mengke Bateer,1975,Hanggin Banner,15
3869,Ian Allison,1909,Greenock,13
3870,Cyril Julian,1974,Castres,12
3871,Efthimis Rentzias,1976,Trikala,8
3872,Duane Swanson,1913,Waterman,16
3873,Gerald Robinson,1984,Los Angeles,5
3874,Albert Miralles,1982,Barcelona,11
3875,Gordon Aitchison,1909,North Bay,14
3876,Alex Righetti,1977,Rimini,13
3877,Pavel Ermolinskij,1987,Kyiv,11
3878,Strahinja Milošević,1985,Novi Sad,10
3879,Martín Leiva,1980,Buenos Aires,9
3880,Brian Howard,1967,Winston-Salem,8
3881,Don Carlson,1919,Minneapolis,11
3882,Herm Schaefer,1918,Fort Wayne,11
3883,Curly Armstrong,1918,Fort Wayne,9
3884,Čedomir Vitkovac,1982,Kruševac,8
3885,Ken Bannister,1960,Baltimore,13
3886,Nikos Filippou,1962,Ioannina,6
3887,Héctor Campana,1964,Córdoba,8
3888,Michalis Romanidis,1966,Thessaloniki,7
3889,Marty Passaglia,1919,San Francisco,5
3890,Tim Kempton,1964,New York City,7
3891,Andrea De Nicolao,1991,Padua,9
3892,Brian Evans,1973,Rockford,7
3893,Keith Askins,1967,Athens,9
3894,Nikola Bulatović,1971,Podgorica,8
3895,André Vacheresse,1927,Roanne,7
3896,Marcelo Milanesio,1965,"Hernando, Córdoba",7
3897,Mike Phelps,1961,Vicksburg,6
3898,Larry Drew,1958,Kansas City,15
3899,Trey Johnson,1984,Jackson,9
3900,Jack Dwan,1921,Wilmette,8
3901,Hank Beenders,1916,Haarlem,9
3902,Dražen Anzulović,1967,Zagreb,8
3903,Julie Page,1983,Manchester,10
3904,Chris Lofton,1986,Maysville,10
3905,Mujo Tuljković,1979,Ljubovija,6
3906,Dermie O'Connell,1928,New York City,5
3907,Joel Jones,1981,San Diego,5
3908,Ergin Ataman,1966,Istanbul,18
3909,Vladimir Micov,1985,Belgrade,13
3910,Buddy O'Grady,1920,New York City,5
3911,Tony Jaros,1920,Minneapolis,10
3912,Tunji Awojobi,1973,Lagos,9
3913,A. J. Bramlett,1977,DeKalb,12
3914,Jerry Rullo,1923,Philadelphia,9
3915,Shawn Respert,1972,Detroit,9
3916,Lars Hansen,1954,Copenhagen,10
3917,Ervin Johnson,1967,New Orleans,11
3918,Héctor Blondet,1947,Brooklyn,6
3919,Dave Hoppen,1964,Omaha,7
3920,Ralph Kaplowitz,1919,The Bronx,7
3921,David Young,1981,New Castle,7
3922,Mike Todorovich,1923,St. Louis,9
3923,Mike Smith,1976,West Monroe,6
3924,Nicolò Melli,1991,Reggio Emilia,21
3925,Corey Crowder,1969,Carrollton,7
3926,Donnie Forman,1926,New York City,8
3927,Artūras Jomantas,1985,Mažeikiai,8
3928,Andrius Mažutis,1981,Mažeikiai,7
3929,Ian Vougioukas,1985,London,15
3930,Loren Meyer,1972,Emmetsburg,9
3931,Pere Tomàs,1989,Llucmajor,10
3932,Andrew Levane,1920,Brooklyn,11
3933,Byron Dinkins,1967,Charlotte,7
3934,Predrag Savović,1976,Pula,8
3935,Jonathan Kale,1985,Boston,7
3936,Tanel Sokk,1985,Tallinn,14
3937,Royce White,1991,Minneapolis,12
3938,Veselin Petrović,1977,Sarajevo,9
3939,Valmo Kriisa,1974,Pärnu,10
3940,Angelo Musi,1918,Philadelphia,9
3941,James Robinson,1970,Jackson,8
3942,Jackie Moore,1932,Philadelphia,7
3943,Antonio Graves,1985,Mansfield,11
3944,Iñaki de Miguel,1973,Madrid,8
3945,Marcus Vinicius Urban Toledo dos Reis,1986,Araraquara,8
3946,Jerry Fleishman,1922,Brooklyn,8
3947,Miljan Goljović,1971,Raška,8
3948,Aloysius Anagonye,1981,Southfield,8
3949,Ian Whyte,1971,Bangor,13
3950,Ivars Timermanis,1982,Bauska,8
3951,Željko Pavličević,1951,Zagreb,8
3952,Torraye Braggs,1976,Fresno,11
3953,Shenise Johnson,1990,Henrietta,9
3954,Achille Polonara,1991,Ancona,15
3955,Ariel Maughan,1923,Salt Lake City,6
3956,Ramón Rivas,1966,New York City,8
3957,Larry Eustachy,1955,Alameda,5
3958,Donell Taylor,1982,"Washington, D.C.",9
3959,Othyus Jeffers,1985,Chicago,9
3960,Earl Williams,1951,Levittown,6
3961,Billy Hassett,1921,New York City,11
3962,Antoine Diot,1989,Bourg-en-Bresse,22
3963,Malik Dixon,1975,Chicago,8
3964,Rick Hughes,1973,Cincinnati,7
3965,Ebi Ere,1981,Tulsa,10
3966,Tim Kempton,1964,Jamaica,7
3967,Yannis Kalampokis,1978,Athens,7
3968,George Glamack,1919,Johnstown,8
3969,Jeff Varem,1983,Benue State,6
3970,Tim Breaux,1970,Baton Rouge,10
3971,Sam Pellom,1951,Wilmington,6
3972,Ian Lockhart,1967,Nassau,6
3973,Julius Nwosu,1971,,6
3974,Mike Higgins,1967,Grand Island,7
3975,Chris Whitney,1971,Hopkinsville,8
3976,John Mahnken,1922,West New York,6
3977,Ron Bontemps,1926,Taylorville,14
3978,Tabaré Larre Borges,1922,Montevideo,10
3979,Kostas Papanikolaou,1990,Trikala,21
3980,Robert Pitts,1919,Pontotoc,14
3981,Miloš Babić,1968,Kraljevo,15
3982,Ejike Ugboaja,1985,Lagos,13
3983,Aíto García Reneses,1946,Madrid,12
3984,David Benoit,1968,Lafayette,14
3985,Draymond Green,1990,Saginaw,40
3986,Jermaine Taylor,1986,Tavares,9
3987,Jamel McLean,1988,Brooklyn,12
3988,Goran Suton,1985,Sarajevo,10
3989,Ivan Sunara,1959,Drniš,13
3990,Álvaro Tito,1962,Montevideo,6
3991,Ed Beach,1929,Elizabeth,7
3992,Don Buse,1950,Huntingburg,12
3993,Sun Fengwu,1962,Huai'an District,6
3994,Constantin Popa,1971,Bucharest,11
3995,Darius Dimavičius,1968,Kaunas,13
3996,Kęstutis Marčiulionis,1977,Kaunas,13
3997,Rubén Garcés,1973,Colón City,9
3998,Frank R. McCabe,1927,Grand Rapids,14
3999,Goran Grbović,1961,Kruševac,10
4000,Hana Horáková,1979,Bruntál,16
4001,Dan Pippin,1926,St. Louis,14
4002,Raúl Mera,1936,Montevideo,12
4003,D. J. White,1986,Tuscaloosa,12
4004,Dean Kelley,1931,Monmouth,12
4005,Pétur Guðmundsson,1958,Reykjavík,12
4006,Nate DeLong,1926,Chippewa Falls,5
4007,John Thomas,1975,Minneapolis,8
4008,Torgeir Bryn,1964,Oslo,14
4009,Steve Alford,1964,Franklin,19
4010,Milica Dabović,1982,Cetinje,20
4011,Sean May,1984,Chicago,14
4012,Carla Benschop,1950,Oud-Beijerland,5
4013,Alvydas Pazdrazdis,1972,Kretinga,13
4014,Alvin Gentry,1954,Shelby,15
4015,Jeff Van Gundy,1962,Hemet,15
4016,Enrique Baliño Pavón,1928,Montevideo,13
4017,Lew Beck,1922,Portland,13
4018,Curtis Borchardt,1980,Buffalo,14
4019,Anthony Bowie,1963,Tulsa,15
4020,Gordon Carpenter,1919,Ash Flat,15
4021,Mike Wilks,1979,Milwaukee,11
4022,Wayne Glasgow,1926,Dacoma,14
4023,Vanya Dermendzhieva,1958,Haskovo,11
4024,Will McDonald,1979,New Orleans,9
4025,Carl English,1981,St. John's,13
4026,Ferenc Velkey,1915,Nagykáta,5
4027,DeMarcus Nelson,1985,Oakland,10
4028,Kostas Sloukas,1990,Thessaloniki,17
4029,Todorka Yordanova,1956,,10
4030,Taylor Griffin,1986,Oklahoma City,9
4031,Ariel Olascoaga,1929,Treinta y Tres,12
4032,Damir Mulaomerović,1974,Tuzla,19
4033,Vladimir Boisa,1981,Rustavi,15
4034,Gene Berce,1926,Milwaukee,8
4035,Rolands Freimanis,1988,Gulbene,14
4036,Levon Kendall,1984,Vancouver,11
4037,Hernán Jasen,1978,Bahía Blanca,10
4038,A. J. Price,1986,Orange,12
4039,Woody Sauldsberry,1934,Winnsboro,15
4040,Jef Eygel,1933,Antwerp,6
4041,Sergei Karaulov,1984,Guliston,9
4042,Bill Wennington,1963,Montreal,18
4043,Snezhana Mikhaylova,1954,Tryavna,12
4044,Raviv Limonad,1984,Netanya,9
4045,Mo Ke,1982,Changchun,9
4046,Mark Madsen,1976,Walnut Creek,11
4047,Vlad Moldoveanu,1988,Bucharest,9
4048,Antanas Kavaliauskas,1984,Vilnius,18
4049,Ike Borsavage,1924,Plymouth,7
4050,Giorgos Karagoutis,1976,Athens,8
4051,Silviya Germanova,1961,Gotse Delchev,11
4052,Michael Kingma,1979,Manly,5
4053,Siim-Sander Vene,1990,Tartu,14
4054,Wei Wei,1989,Shanxi,9
4055,Michael Wright,1980,Chicago,9
4056,Jesse Renick,1917,Hickory,14
4057,Elena Danilochkina,1986,Moscow,11
4058,Howie Williams,1927,New Ross,14
4059,José Manuel Beirán,1959,León,12
4060,Jeff Ayres,1987,Ontario,20
4061,Kyle Hill,1979,Chicago,10
4062,Serkan Erdoğan,1978,Amasya,12
4063,Ilona Korstin,1980,Saint Petersburg,20
4064,Ed O'Bannon,1972,Los Angeles,12
4065,Sonny Parker,1955,Chicago,7
4066,Quinn Buckner,1954,Phoenix,20
4067,Dainius Šalenga,1977,Varėna,12
4068,Andro Knego,1956,Dubrovnik,19
4069,Bill Lienhard,1930,Slaton,15
4070,John Keller,1928,Page City,14
4071,Nadka Golcheva,1952,Blagoevgrad Province,12
4072,Vladimir Tkachenko,1957,Sochi,21
4073,Marcus Vinicius de Souza,1984,Rio de Janeiro,10
4074,Kevin O'Shea,1925,San Francisco,7
4075,Wilson Washington,1955,Norfolk,5
4076,Joe Cooper,1957,Houston,6
4077,Sherman Hamilton,1972,Toronto,9
4078,Eduardo Kucharsky,1925,L'Hospitalet de Llobregat,6
4079,Kyle O'Quinn,1990,Jamaica,19
4080,Phil Johnson,1941,Grace,10
4081,Richard Boushka,1934,St. Louis,15
4082,Lawrence Moten,1972,"Washington, D.C.",8
4083,Petteri Koponen,1988,Helsinki,29
4084,Harold Anderson,1902,Akron,7
4085,Sergei Kovalenko,1947,Lüshunkou District,14
4086,Anthony Carter,1975,Milwaukee,13
4087,Jack Ragland,1913,Hutchinson,16
4088,Kenny Hayes,1987,Toledo,6
4089,Wayne Ellington,1987,Wynnewood,22
4090,Carlos Arroyo,1979,Fajardo,23
4091,Steve Bardo,1968,Henderson,10
4092,Antonio Grant,1976,Augusta,7
4093,JaJuan Johnson,1989,Indianapolis,16
4094,Noel Felix,1981,Los Angeles,7
4095,A. J. Slaughter,1987,Shelbyville,13
4096,Elīna Babkina,1989,Riga,13
4097,J. R. Sakuragi,1976,Bakersfield,11
4098,Gustavo Ayón,1985,Tepic,24
4099,Tetyana Nadyrova,1951,Khrystynivka,12
4100,Danko Cvjetićanin,1963,Zagreb,16
4101,Mario Elie,1963,New York City,13
4102,Clarissa dos Santos,1988,Rio de Janeiro,14
4103,Anthony Mason,1966,Miami,20
4104,Anthony Roberson,1983,Saginaw,8
4105,Anton Gavel,1984,Košice,13
4106,Ralph Sampson,1960,Harrisonburg,22
4107,Saulius Štombergas,1973,Klaipėda,20
4108,Greg Kelser,1957,Panama City,7
4109,José Miguel Antúnez,1967,Madrid,8
4110,Aleksandrs Vanags,1919,Riga,7
4111,Eirini Stachtiari,1977,Athens,5
4112,Jason Gardner,1980,Indianapolis,6
4113,Carlos Cabezas,1980,Málaga,18
4114,Mike Scott,1988,Chesapeake,15
4115,Larry Miller,1946,Allentown,8
4116,Kim English,1988,Baltimore,7
4117,Kristof Ongenaet,1985,Ghent,5
4118,Flinder Boyd,1980,San Francisco,8
4119,Miguel Lutonda,1971,Luanda,8
4120,Nikita Morgunov,1975,Novokuznetsk,14
4121,Jae Crowder,1990,Villa Rica,22
4122,Alzhan Zharmukhamedov,1944,Bostanliq District,20
4123,Mirko Novosel,1938,Zagreb,15
4124,Terry Cummings,1961,Chicago,14
4125,John Barnhill,1938,Evansville,7
4126,Kara Wolters,1975,Natick,16
4127,Jerry Sichting,1956,Martinsville,11
4128,Kurt Thomas,1972,Dallas,23
4129,Giorgi Gamqrelidze,1986,Tbilisi,6
4130,Ivan Paunić,1987,Belgrade,14
4131,Ansu Sesay,1976,Greensboro,8
4132,Cēzars Ozers,1937,Riga,14
4133,Ilmar Merkle II,1922,Tartu,18
4134,Charles Lombahe-Kahudi,1986,Kinshasa,16
4135,Donald Piper,1911,Peoria,16
4136,Fred Vinson,1971,Murfreesboro,5
4137,Kleggie Hermsen,1923,Hill City,8
4138,John Rudometkin,1940,Santa Maria,6
4139,Tibor Zsíros,1930,Budapest,9
4140,Jawad Williams,1983,Cleveland,12
4141,Mathieu Faye,1958,Dakar,5
4142,Tõnno Lepmets,1938,Tallinn,9
4143,Jawad Williams,1983,Lakewood,12
4144,Annika Zeyen,1985,Bonn,9
4145,Andrzej Nartowski,1931,Kalisz,6
4146,Ángel Daniel Vassallo,1986,Arecibo,5
4147,Ana Gonçalves,1993,Benguela,11
4148,Vladimir Padrta,1952,Brno,6
4149,Boo Ellis,1936,Hamilton,5
4150,Teemu Rannikko,1980,Turku,16
4151,Jaycee Carroll,1983,Laramie,20
4152,Antoine Rigaudeau,1971,Cholet,22
4153,Liz Cambage,1991,London,19
4154,Anthony Frederick,1964,Los Angeles,7
4155,Damian Hollis,1988,Fort Lauderdale,6
4156,Nikola Lončar,1972,Kragujevac,16
4157,Lolo Sainz,1940,Tétouan,10
4158,Panagiotis Fasoulas,1963,Athens,16
4159,Alexandre Gemignani,1925,São Paulo,14
4160,Joe Caldwell,1941,Texas City,15
4161,Fred Hoiberg,1972,Lincoln,18
4162,Yannick Bokolo,1985,Kinshasa,11
