,player_name,birth_year,birthplace,popularity
143,Jessica Davenport,1985,Columbus,11
144,Mario Kasun,1980,Vinkovci,18
145,Linda Fröhlich,1979,Pforzheim,8
146,Bob Hill,1948,Columbus,11
147,Alfons Alzamora,1979,Palma de Mallorca,12
148,Gerald Fitch,1982,Columbus,9
149,Cheryl Miller,1964,Riverside,21
150,R. Kelly,1967,Chicago,85
151,Lindsey Harding,1984,Mobile,15
152,Tamika Catchings,1979,Stratford,26
153,Shyra Ely,1983,Indianapolis,10
154,Wendy Palmer,1974,Durham,10
155,Rasheed Wallace,1974,Philadelphia,38
156,Helen Luz,1972,Araçatuba,13
157,Marc Gasol,1985,Barcelona,45
158,Essence Carson,1986,Paterson,14
159,Paolo Quinteros,1979,Colón,18
160,Thomas Heurtel,1989,Béziers,24
161,Jahmar Young,1986,Baltimore,8
162,Emily McInerny,1978,Bendigo,9
163,Milton Barros,1984,Cacongo,9
164,Tanisha Wright,1983,Brooklyn,13
165,Shan Tao,1970,Jiangsu,5
166,Cuthbert Victor,1983,Saint Croix,9
167,Vida Beselienė,1956,Šiauliai,11
168,Anne-Marie Colchen,1925,Le Havre,19
169,Temeka Johnson,1982,New Orleans,13
170,Hakeem Olajuwon,1963,Lagos,52
171,Lisa Leslie,1972,Gardena,31
172,Dawn Staley,1970,Philadelphia,20
173,Midde Hamrin,1957,Gothenburg,8
174,Mantas Kalnietis,1986,Kaunas,24
175,Carlos Delfino,1982,Santa Fe,31
176,Maël Lebrun,1991,Nice,7
177,Ray Owes,1972,San Bernardino,5
178,Ed Nelson,1982,Brockton,6
179,Roneeka Hodges,1982,New Orleans,11
180,Janel McCarville,1982,Stevens Point,12
181,Roger Huggins,1967,London,5
182,Rolando Blackman,1959,Panama City,18
183,Crystal Langhorne,1986,Queens,14
184,Buddy Jeannette,1917,New Kensington,16
185,Horia Demian,1942,Cluj-Napoca,6
186,Alessandro Tonolli,1974,Caprino Veronese,9
187,Penny Taylor,1981,Melbourne,21
188,Šárka Kašpárková,1971,Karviná,23
189,A. C. Green,1963,Portland,22
190,Milenko Tepić,1987,Novi Sad,18
191,Dalma Iványi,1976,Békéscsaba,10
192,Randal Falker,1985,St. Louis,10
193,Louis Campbell,1979,Rahway,9
194,Chase Budinger,1988,Encinitas,23
195,Juan Antonio Orenga,1966,Castelló de la Plana,14
196,Uvis Helmanis,1972,Talsi,12
197,Bill Russell,1934,Monroe,61
198,Drew Gordon,1990,San Jose,13
199,Dane Watts,1986,Kansas City,7
200,Corey Albano,1975,New York City,7
201,Filiberto Rivera,1982,Carolina,9
202,Diana Taurasi,1982,Glendale,34
203,Wu Qinglong,1965,Liaoning,5
204,Chuck Eidson,1980,Summerville,17
205,Becky Hammon,1977,Rapid City,30
206,Aggelos Tsamis,1981,Achaea Regional Unit,7
207,Larry Bird,1956,West Baden Springs,74
208,Zheng Haixia,1967,Zhecheng County,15
209,David Robinson,1965,Key West,47
210,Álex Mumbrú,1979,Barcelona,24
211,Mateusz Ponitka,1993,Ostrów Wielkopolski,19
212,Jasmin Perković,1980,Rijeka,6
213,Marcus Ginyard,1987,Rochester,10
214,Malcolm Delaney,1989,Baltimore,19
215,John Stockton,1962,Spokane,49
216,Kevin Johnson,1966,Sacramento,23
217,Vedran Vukušić,1982,Split,7
218,Tom Selleck,1945,Detroit,53
219,Thomas Massamba,1985,Kinshasa,8
220,Marion Jones,1975,Los Angeles,41
221,Marko Car,1985,Karlovac,8
222,Kevin Garnett,1976,Greenville,52
223,Derrick Rose,1988,Chicago,54
224,Zhang Xiaoni,1983,Yantai,9
225,Chun Hee-chul,1973,Seoul,6
226,Jim Thorpe,1888,Prague,56
227,Helen Stephens,1918,Fulton,24
228,Serhat Çetin,1986,Istanbul,8
229,Doron Lamb,1991,Queens,12
230,Mateusz Kostrzewski,1989,Elbląg,8
231,Ángel García,1988,Toa Baja,6
232,Tracy McGrady,1979,Bartow,45
233,Russell Westbrook,1988,Long Beach,53
234,Micheline Ostermeyer,1922,Rang-du-Fliers,29
235,Lance Blanks,1966,Del Rio,13
236,Jim Jackson,1970,Toledo,17
237,Kirk Penney,1980,North Shore,15
238,Ricky Rubio,1990,El Masnou,43
239,Manu Ginóbili,1977,Bahía Blanca,46
240,Allen Iverson,1975,Hampton,56
241,Ray Allen,1975,Merced,46
242,James Naismith,1861,Almonte,57
243,Tim Duncan,1976,Christiansted,61
244,Dean Smith,1931,Emporia,23
245,Ruben Boykin,1985,Inglewood,8
246,Goran Jeretin,1979,Nikšić,11
247,Regev Fanan,1981,Tel Aviv,7
248,Mike Barrett,1943,Montgomery,17
249,Alex Acker,1983,Compton,24
250,Álex Abrines,1993,Palma de Mallorca,34
251,Raško Katić,1980,Kragujevac,19
252,Vince Carter,1977,Daytona Beach,42
253,Harrison Barnes,1992,Ames,30
254,Özhan Canaydın,1943,Bursa,9
255,Josh Powell,1983,Charleston,19
256,Bogdan Bogdanović,1992,Belgrade,29
257,Hu Weidong,1971,Xuzhou,6
258,Zoran Planinić,1982,Mostar,25
259,Issa Hayatou,1946,Garoua,22
260,Rimantas Kaukėnas,1977,Vilnius,21
261,Zsófia Fegyverneky,1984,Pécs,7
262,Dražen Petrović,1964,Šibenik,57
263,Chris Bosh,1984,Dallas,47
264,Lamont Hamilton,1984,Brooklyn,13
265,Dennis Rodman,1961,Trenton,59
266,Candace Parker,1986,St. Louis,29
267,Frank Turner,1988,Atlantic City,8
268,Bobby Dixon,1983,Chicago,16
269,Matt Bouldin,1988,Highlands Ranch,6
270,Seimone Augustus,1984,Baton Rouge,23
271,Toni Kukoč,1968,Split,44
272,Tweety Carter,1986,New Orleans,9
273,Teresa Edwards,1964,Cairo,24
274,Tony Parker,1982,Bruges,55
275,Ziyed Chennoufi,1988,Hagen,6
276,J. Cole,1985,Frankfurt,45
277,Steve Nash,1974,Johannesburg,51
278,Jason Kidd,1973,San Francisco,41
279,Woo Ji-Won,1973,,5
280,Moon Kyung-eun,1971,Seoul,5
281,Nick Nolte,1941,Omaha,70
282,Jackie Joyner-Kersee,1962,East St. Louis,50
283,Doug Atkins,1930,Humboldt,9
284,Jannero Pargo,1979,Chicago,19
285,Charles Barkley,1963,Leeds,60
286,Julius Erving,1950,Manhattan,50
287,Sue Bird,1980,Syosset,34
288,Roko Ukić,1984,Split,23
289,Vítor Benite,1990,São Paulo,11
290,Pau Gasol,1980,Barcelona,56
291,Raymond Flynn,1939,South Boston,10
292,Karl Malone,1963,Ruston,53
293,Yannick Driesen,1988,Antwerp,10
294,Liu Yudong,1970,Fujian,6
295,Scottie Pippen,1965,Hamburg,53
296,Teoman Alibegović,1967,Zenica,10
297,Penny Hardaway,1971,Memphis,33
298,Joe Dumars,1963,Shreveport,31
299,Yi Jianlian,1987,Heshan,28
300,John Best,1971,Neptune Township,7
301,John Wall,1990,Raleigh,33
302,İbrahim Kutluay,1974,Istanbul,21
303,Gerald Lee,1987,Uusikaupunki,11
304,Red Auerbach,1917,Brooklyn,32
305,Sharrod Ford,1982,"Washington, D.C.",12
306,Jim Valvano,1946,Queens,9
307,Nikos Vetoulas,1974,Patras,10
