,university_name,founding_year,city,popularity
670,Sambalpur University,1967.0,,7
671,"All India Institute of Medical Sciences, Bathinda",2019.0,,7
672,Stepan Gzhytskyi National University of Veterinary Medicine and Biotechnologies Lviv,1784.0,,7
673,George Mason University,1957.0,,28
674,Omsk State Medical University,1921.0,,5
675,Central Agricultural University,1993.0,,10
676,FESC University,1993.0,,5
677,Jamal Mohamed College,1951.0,,5
678,Sergei Yesenin Ryazan State University,1915.0,,5
679,Dalat University,1957.0,,8
680,Trinity Washington University,1897.0,,8
681,Nord University,2016.0,,9
682,University of Venda,1980.0,,5
683,National Defense University,1906.0,,5
684,Taipei National University of the Arts,1982.0,,7
685,Rajiv Gandhi University of Health Sciences,1996.0,,10
686,Paul Verlaine University – Metz,1970.0,,6
687,Mohammed V University,1957.0,,12
688,"University of California, Los Angeles",1919.0,,80
689,Mahatma Gandhi Kashi Vidyapeeth,1921.0,,6
690,Oberlin University,1921.0,,7
691,Chongqing University,1929.0,,14
692,Saint Peter's University,1872.0,,7
693,Ōtani University,1665.0,,5
694,Xiangtan University,1958.0,,6
695,Óbuda University,2010.0,,15
696,Misr University for Science and Technology,1996.0,,6
697,Prague University of Economics and Business,1953.0,,22
698,Hong Bang University,,,5
699,Trent University,1964.0,,12
700,Kazan National Research Technological University,1890.0,,10
701,Yangzhou University,1902.0,,7
702,Muhimbili University of Health and Allied Sciences,2007.0,,6
703,New York University Tandon School of Engineering,1854.0,,13
704,St. Lawrence University,1856.0,,9
705,Grambling State University,1901.0,,7
706,University of Priština (North Mitrovica),1969.0,,9
707,Yantai University,1984.0,,5
708,Università della Valle d'Aosta,2000.0,,11
709,Jomo Kenyatta University of Agriculture and Technology,1994.0,,6
710,"University of Economics, Ho Chi Minh City",1976.0,,5
711,Wichita State University,1886.0,,13
712,University of Zawia,1983.0,,5
713,Brigham Young University Hawaii,1955.0,,9
714,ShanghaiTech University,2013.0,,6
715,Pontifical Catholic University of Rio de Janeiro,1940.0,,11
716,Mordovia State University,1931.0,,11
717,Open University of Catalonia,1994.0,,18
718,University of Bridgeport,1927.0,,6
719,Azim Premji University,2011.0,,6
720,Mulawarman University,1962.0,,7
721,Allama Iqbal Open University,1974.0,,12
722,National Academy of Arts of Ukraine,1996.0,,5
723,Bluffton University,1899.0,,7
724,University of Thessaly,1984.0,,12
725,Interamerican University of Puerto Rico,1912.0,,5
726,"All India Institute of Medical Sciences, New Delhi",1956.0,,11
727,University of Alaska Southeast,1972.0,,8
728,Omsk State Transport University,1930.0,,5
729,Saint Petersburg State Forest Technical University,1803.0,,7
730,I. Ya. Horbachevsky Ternopil National Medical University of Ministry of Health Care of Ukraine,1957.0,,18
731,Kasetsart University,1943.0,,11
732,University of Namibia,1992.0,,17
733,Technical University of Sofia,1945.0,,14
734,Marquette University,1881.0,,20
735,University of Vlorë,1994.0,,9
736,Grand Valley State University,1960.0,,10
737,Tatar State University of Humanities and Education,1876.0,,6
738,Visvesvaraya Technological University,1998.0,,6
739,Foreigners University of Siena,1917.0,,9
740,Islamia College University,1913.0,,10
741,LUCA School of Arts,1995.0,,5
742,Buckinghamshire New University,1999.0,,11
743,Instituto Tecnológico de Buenos Aires,1959.0,,7
744,University of Alabama at Birmingham,1969.0,,12
745,National University of La Plata,1897.0,,23
746,Viterbo University,1890.0,,6
747,Guru Gobind Singh Indraprastha University,1998.0,,10
748,Indian Institute of Mass Communication,1965.0,,5
749,Toulouse Tech,2007.0,,6
750,Anhui University,1928.0,,11
751,Universidade Federal do Paraná,1912.0,,16
752,Jakarta State Islamic University,1957.0,,10
753,Norwich University of the Arts,1845.0,,9
754,Kafkas University,1992.0,,7
755,Atomi University,1965.0,,5
756,University of La Serena,1981.0,,5
757,Lahore University of Management Sciences,1984.0,,6
758,Fukui Prefectural University,1992.0,,5
759,Vinoba Bhave University,1992.0,,5
760,Chechen State University,1938.0,,17
761,Franz Joseph University,1872.0,,6
762,"Cotton College, Guwahati",1901.0,,6
763,Hakim Sabzevari University,1987.0,,5
764,University of Strathclyde,1796.0,,33
765,Suor Orsola Benincasa University of Naples,1864.0,,6
766,University of Trnava,1635.0,,5
767,Poznań University of Economics,1926.0,,11
768,Universidade Fundação Mineira de Educação e Cultura,1965.0,,19
769,Technical University of UMMC,2013.0,,5
770,University of Sfax,1986.0,,10
771,Orenburg State Pedagogical University,1919.0,,5
772,Niagara University,1856.0,,7
773,Dar al-Mustafa,1993.0,,7
774,University of Monastir,2004.0,,7
775,Military University of the Ministry of Defense of the Russian Federation,1919.0,,7
776,Tunis University,1960.0,,13
777,Ajou University,1973.0,,11
778,Russian State Geological Prospecting University,1930.0,,6
779,American University of Afghanistan,2006.0,,13
780,University of Bohol,1946.0,,5
781,Stockholm University,1878.0,,55
782,Mazahir Uloom,1866.0,,8
783,Dankook University,1947.0,,14
784,Utrecht University,1636.0,,54
785,National University Corporation Tsukuba University of Technology,1987.0,,5
786,Anglia Ruskin University,1858.0,,26
787,University of East Sarajevo,1992.0,,12
788,"National Sports University, Manipur",2018.0,,7
789,Minerva Schools at KGI,2012.0,,6
790,Southwestern Oklahoma State University,1901.0,,5
791,Dr. Ram Manohar Lohia Awadh University,1975.0,,7
792,Virtual University of Pakistan,2002.0,,6
793,Ming Chuan University,1957.0,,5
794,Mid Sweden University,1993.0,,17
795,Minzu University of China,1951.0,,15
796,Southern Federal University,1915.0,,21
797,Sri Venkateswara University,1954.0,,9
798,Wuhan University of Science and Technology,1898.0,,5
799,University of Kisangani,1963.0,,11
800,Adams State University,1921.0,,7
801,Ahmedabad University,2009.0,,5
802,Mohammed VI Polytechnic University,2014.0,,5
803,Mahatma Gandhi Central University,2016.0,,6
804,Epoka University,2007.0,,5
805,Judson University,1963.0,,7
806,Uman National University of Horticulture,1844.0,,5
807,"University of California, Merced",2002.0,,24
808,University of Balochistan,1970.0,,8
809,Pelita Harapan University,1993.0,,8
810,Christopher Newport University,1961.0,,9
811,Austral University,1978.0,,8
812,Heriot-Watt University,1821.0,,29
813,Poltava University of Economics and Trade,1961.0,,8
814,Austin Community College District,1973.0,,5
815,William Paterson University,1855.0,,12
816,Crandall University,1949.0,,6
817,Tomsk Polytechnic University,1896.0,,13
818,National Research University – Higher School of Economics,1992.0,,24
819,Jiangsu Normal University,1952.0,,5
820,Yu Da University of Science and Technology,1999.0,,5
821,Guizhou University,1902.0,,8
822,University of Defence,2011.0,,6
823,Shanghai International Studies University,1949.0,,17
824,Mzumbe University,2001.0,,8
825,National Central University,1915.0,,25
826,Estácio Universities,1970.0,,5
827,Belarusian State Economic University,1933.0,,8
828,San Sebastián University,1989.0,,24
829,Deccan College Post-Graduate and Research Institute,1821.0,,6
830,Maulana Azad National Urdu University,1998.0,,11
831,Fujian Normal University,1907.0,,10
832,Universidad del Museo Social Argentino,1956.0,,6
833,YARSI University,1967.0,,5
834,Moscow State University of Fine Chemical Technologies,1900.0,,5
835,Pavlo Tychyna Uman State Pedagogical University,1930.0,,6
836,University of Hyogo,2004.0,,6
837,Free University of Amsterdam,1880.0,,36
838,Mahasarakham University,1994.0,,9
839,Stamford International University,1995.0,,6
840,Mount Saint Vincent University,1873.0,,6
841,North Carolina Central University,1909.0,,10
842,San José State University,1857.0,,21
843,Beijing Sport University,1953.0,,6
844,Embry–Riddle Aeronautical University,1926.0,,12
845,University of Oran,1967.0,,7
846,George Enescu University of Arts of Iași,1860.0,,7
847,Tunis El Manar University,1987.0,,10
848,Kumaun University,1973.0,,6
849,Bridgewater State University,1840.0,,8
850,Université des Montagnes,2000.0,,5
851,Zhejiang A & F University,1958.0,,5
852,East Ukrainian Volodymyr Dahl National University,1920.0,,14
853,Kobe Shoin Women's University,1892.0,,5
854,University of Wales Trinity Saint David,2010.0,,6
855,Western Kentucky University,1906.0,,10
856,Al-Furat University,2006.0,,5
857,Sankt Georgen Graduate School of Philosophy and Theology,1926.0,,8
858,Azerbaijan State Marine Academy,1996.0,,8
859,Belarusian State Technological University,1930.0,,5
860,Tabriz University of Medical Sciences,1947.0,,6
861,Webster Vienna Private University,1981.0,,5
862,University of Havana,1728.0,,38
863,Sebelas Maret University,1976.0,,13
864,Kharazmi University,1919.0,,9
865,Nagoya City University,1950.0,,7
866,Moscow University for the Humanities,1944.0,,5
867,Free University of Bozen-Bolzano,1997.0,,12
868,Newcastle University,1963.0,,37
869,Silesian University in Opava,1991.0,,6
870,Sofia Medical University,1917.0,,10
871,University of Curaçao,1979.0,,6
872,Bowdoin College,1794.0,,21
873,Tambov State University,1918.0,,6
874,Bowie State University,1865.0,,8
875,Medical University of South Carolina,1824.0,,8
876,Yuan Ze University,1989.0,,5
877,Al-Yamamah Private University,2001.0,,5
878,Moscow State University of Geodesy and Cartography,1930.0,,5
879,Virginia State University,1882.0,,6
880,Akita University,1949.0,,11
881,Golden Gate University,1901.0,,8
882,Aalborg University,1974.0,,26
883,Penza State University,1943.0,,6
884,Baku State University,1919.0,,63
885,Suffolk University,1906.0,,19
886,University of Caloocan City,1971.0,,6
887,Cayetano Heredia University,1961.0,,9
888,University of Valladolid,1241.0,,25
889,Sefako Makgatho Health Sciences University,2014.0,,5
890,Gauhati University,1948.0,,11
891,Xavier University of Louisiana,1915.0,,8
892,Al Akhawayn University,1995.0,,9
893,National University of Trujillo,1824.0,,7
894,University of Malawi,1964.0,,18
895,Sri Sathya Sai University,1981.0,,5
896,Université de l'Ontario français,2017.0,,5
897,Visayas State University,1924.0,,7
898,Fo Guang University,2000.0,,6
899,National Aviation University,1933.0,,12
900,university of Fiji,2004.0,,8
901,FSB Academy,1921.0,,13
902,Appalachian State University,1899.0,,9
903,Park University,1875.0,,6
904,Vilnius Academy of Art,1793.0,,13
905,Universidad Nacional del Sur,1956.0,,5
906,University of Wisconsin–Stevens Point,1894.0,,8
907,National Yang-Ming University,1975.0,,11
908,Defense Acquisition University,1991.0,,6
909,Poltava State Agrarian Academy,1920.0,,5
910,Ural State Medical Academy,1930.0,,6
911,China Women's University,1949.0,,8
912,Bethune-Cookman University,1904.0,,6
913,Framingham State University,1839.0,,6
914,Kakatiya University,1976.0,,6
915,Charleston Southern University,1964.0,,6
916,Bloomsburg University,1839.0,,5
917,Aristotle University of Thessaloniki,1925.0,,37
918,"Saint Petersburg State University of Information Technologies, Mechanics and Optics",1900.0,,17
919,Austin Peay State University,1927.0,,12
920,Mongolian University of Life Sciences,1958.0,,7
921,Xizang Minzu University,1958.0,,6
922,Blue Nile University,1995.0,,5
923,University of Toliara,1971.0,,5
924,Eindhoven University of Technology,1956.0,,30
925,University of Plymouth,1992.0,,19
926,Azerbaijan Teachers Institute,1929.0,,5
927,Tanjungpura University,1959.0,,9
928,ŠKODA AUTO University,2000.0,,8
929,Tokyo University of Social Welfare,2000.0,,9
930,Washington University in St. Louis,1853.0,,40
931,Satya Wacana Christian University,1956.0,,5
932,Oslo Metropolitan University,2018.0,,14
933,Tunku Abdul Rahman University of Management and Technology,1969.0,,8
934,Pontificia Universidad Católica del Ecuador,1946.0,,12
935,"Universidad de los Andes, Chile",1989.0,,17
936,School of Visual Arts,1947.0,,16
937,Pace University,1906.0,,18
938,Latvia University of Life Sciences and Technologies,1938.0,,17
939,Southern Connecticut State University,1893.0,,8
940,O.M.Beketov National University of Urban Economy in Kharkiv,1922.0,,7
941,Belarusian State University of Transport,1953.0,,5
942,Misr International University,1996.0,,6
943,Ahram Canadian University,2004.0,,6
944,University of Richmond,1830.0,,15
945,Singapore Management University,2000.0,,17
946,National United University,1972.0,,6
947,Arab Open University,2002.0,,9
948,Hohai University,1915.0,,7
949,Vanderbilt University,1873.0,,41
950,Universidade Federal de Mato Grosso do Sul,1979.0,,6
951,Hebei University,1921.0,,5
952,Al-Shahba University,2005.0,,5
953,English and Foreign Languages University,1958.0,,9
954,Cenderawasih University,1962.0,,14
955,Ravenshaw University,1868.0,,5
956,Kazakh-British Technical University,2001.0,,10
957,Far East State Humanitarian University,1934.0,,6
958,Ivanovo State University,1918.0,,7
959,Saint Vladimir's Orthodox Theological Seminary,1905.0,,8
960,China Youth University of Political Studies,1948.0,,5
961,National Research University of Electronic Technology,1965.0,,10
962,Yerevan State Medical University,1920.0,,16
963,Keiai University,1921.0,,5
964,Novosibirsk State Medical University,1935.0,,7
965,Ukrainian Medical Stomatological Academy,1921.0,,5
966,Nishtar Medical University,1951.0,,6
967,University of International Business and Economics,1951.0,,11
968,Tokyo City University,1929.0,,5
969,Mariupol State University,1991.0,,11
970,Tomsk State Pedagogical University,1902.0,,6
971,Arturo Prat University,1984.0,,5
972,University of East Africa,1963.0,,10
973,Abdelmalek Essaâdi University,1982.0,,7
974,"National University, Costa Rica",1973.0,,7
975,Old Dominion University,1930.0,,15
976,University of Arkansas for Medical Sciences,1879.0,,8
977,Kyoto Sangyo University,1965.0,,7
978,Constantin Brâncuși University,1990.0,,5
979,University of Central Arkansas,1907.0,,13
980,Full Sail University,1972.0,,8
981,Southwest Jiaotong University,1896.0,,7
982,Paris-Sorbonne University Abu Dhabi,2006.0,,8
983,Admiral Makarov National University of Shipbuilding,1920.0,,10
984,Ilisimatusarfik,1987.0,,35
985,Université de Sétif,1978.0,,7
986,Brno University of Technology,1956.0,,21
987,Université Omar Bongo,1970.0,,13
988,Kismayo University,2005.0,,5
989,State University of Papua,2000.0,,8
990,Fan Noli University,1971.0,,8
991,Félix Houphouët Boigny University,1964.0,,10
992,Armenian National Agrarian University,1930.0,,11
993,Samara State Regional Academy,1988.0,,5
994,Vologda State Pedagogical University,1918.0,,5
995,University of Jendouba,2003.0,,5
996,University of Jijel,2003.0,,5
997,University of Łódź,1945.0,,27
998,National University of Physical Education and Sport of Ukraine,1930.0,,6
999,Namangan State University,1942.0,,9
1000,Baikal State University,1930.0,,7
1001,National University of Science and Technology,1918.0,,10
1002,University of Illinois at Springfield,1969.0,,9
1003,Far Eastern University,1928.0,,9
1004,University of Silesia in Katowice,1968.0,,20
1005,Russian Islamic University,1998.0,,15
1006,Kabul University,1931.0,,37
1007,Huazhong University of Science and Technology,1953.0,,14
1008,Jinan University,1906.0,,12
1009,University of Montevallo,1867.0,,5
1010,Zaporizhzhia State Medical University,1903.0,,7
1011,Suranaree University of Technology,1990.0,,8
1012,Zaporizhzhia National University,1930.0,,8
1013,Federal University of Rio Grande,1969.0,,7
1014,Philadelphia University,1884.0,,6
1015,Fundação Getúlio Vargas,1944.0,,7
1016,Karaganda State Technical University,1953.0,,6
1017,Azerbaijan State Agricultural University,1929.0,,12
1018,Osaka Kyoiku University,1949.0,,7
1019,Foshan University,1995.0,,5
1020,Titu Maiorescu University,1991.0,,6
1021,Hanoi University of Science and Technology,1956.0,,9
1022,Abu Dhabi University,2003.0,,6
1023,Omsk State Pedagogical University,1932.0,,5
1024,University of Palencia,1212.0,,13
1025,Yerevan State University,1919.0,,43
1026,Montanuniversität Leoben,1840.0,,11
1027,Harbin Engineering University,1953.0,,10
1028,Furman University,1826.0,,11
1029,"St Mary's University, Twickenham",1850.0,,5
1030,University of Chemistry and Technology,1952.0,,11
1031,University of Veterinary Medicine in Košice,1949.0,,8
1032,Patna University,1917.0,,14
1033,Institute of Space Technology,2002.0,,7
1034,University of Technology and Life Sciences in Bydgoszcz,2006.0,,7
1035,Udmurt State University,1931.0,,12
1036,Zarqa University,1994.0,,7
1037,Rajendra Agricultural University,1905.0,,6
1038,University of KwaZulu-Natal,2004.0,,21
1039,Argosy University,2001.0,,5
1040,Imam Sadiq University,1982.0,,5
1041,San Francisco State University,1899.0,,25
1042,Clayton State University,1969.0,,7
1043,Academy of Fine Arts of Rome,1870.0,,12
1044,Astrakhan State Technical University,1930.0,,6
1045,Accademia di Belle Arti di Venezia,1750.0,,10
1046,Université de Kinshasa,1954.0,,21
1047,Amrita Vishwa Vidyapeetham,2003.0,,13
1048,Eduardo Mondlane University,1962.0,,17
1049,Sam Houston State University,1879.0,,10
1050,Kabardino-Balkarian State University,1957.0,,11
1051,Dalian University of Technology,1949.0,,9
1052,Chhatrapati Shahu Ji Maharaj University,1966.0,,9
1053,Universidad Autónoma de Guadalajara,1935.0,,5
1054,Delta State University,1924.0,,7
1055,Manipur University,1980.0,,8
1056,Sapientia University,2000.0,,9
1057,University of North Sumatra,1957.0,,8
1058,Acadia University,1838.0,,12
1059,National University of Public Service,2012.0,,8
1060,St. John's University,1870.0,,20
1061,North Carolina Agricultural and Technical State University,1891.0,,11
1062,Odesa National Economics University,1921.0,,7
1063,Stetson University,1883.0,,13
1064,National University of Colombia at Manizales,,,5
1065,University of Dunaújváros,1953.0,,10
1066,Roskilde University,1972.0,,19
1067,Middlebury College,1800.0,,22
1068,Jahrom University,1973.0,,6
1069,Universidade Estadual da Paraíba,1966.0,,5
1070,Gomel State Medical University,1990.0,,7
1071,Guru Nanak Dev University,1969.0,,6
1072,Meio University,1994.0,,5
1073,Mohamed I University,1978.0,,6
1074,Mohammed V University at Agdal,1993.0,,5
1075,University of La Frontera,1981.0,,5
1076,Mouloud Mammeri University of Tizi Ouzou,1977.0,,9
1077,IPB University,1963.0,,13
1078,University of London Institute in Paris,1894.0,,5
1079,Lankaran State University,1992.0,,10
1080,Louis Pasteur University,1970.0,,6
1081,Senghor University,1990.0,,11
1082,Muhammadiyah University of Makassar,1963.0,,5
1083,Miyagi University,1997.0,,5
1084,Thapar Institute of Engineering and Technology,1956.0,,6
1085,Murray State University,1922.0,,9
1086,Belarusian State Academy of Arts,1945.0,,8
1087,Montana State University,1893.0,,22
1088,Peruvian Union University,1919.0,,5
1089,University of King's College,1789.0,,9
1090,Fukuoka Women's University,1950.0,,7
1091,Université de Yaoundé II,1993.0,,7
1092,University of Alaska Fairbanks,1917.0,,18
1093,Otemon Gakuin University,1966.0,,5
1094,Communist University of the National Minorities of the West,1921.0,,21
1095,B. R. Ambedkar Bihar University,1960.0,,6
1096,Learning Assessment System,,,5
1097,Plovdiv University,1961.0,,10
1098,Air University,1946.0,,7
1099,Gifu University,1949.0,,15
1100,Kazakh National Medical University,1931.0,,8
1101,Hajvery University,2002.0,,5
1102,Leiden University,1575.0,,78
1103,Khujand State University,1932.0,,9
1104,"Dr. Bhimrao Ambedkar University, Agra",1927.0,,10
1105,Atma Jaya Catholic University of Indonesia,1960.0,,6
1106,Plymouth State University,1871.0,,7
1107,Tilak Maharashtra Vidyapeeth,1921.0,,5
1108,Tyumen State Medical University,1963.0,,5
1109,Utah Tech University,1911.0,,6
1110,Copperbelt University,1987.0,,6
1111,St. Thomas University,1961.0,,6
1112,Touro College,1970.0,,6
1113,Indira Gandhi National Tribal University,2007.0,,7
1114,University of Oñati,1540.0,,7
1115,Jawaharlal Nehru Centre for Advanced Scientific Research,1989.0,,5
1116,University of Messina,1548.0,,22
1117,Bashkir State Medical University,1932.0,,13
1118,Moscow Sun Yat-sen University,1925.0,,13
1119,Universitas Syiah Kuala,1961.0,,9
1120,Isra University,1989.0,,5
1121,Yukon College,1963.0,,6
1122,Hiroshima City University,1994.0,,8
1123,Panamerican University,1968.0,,8
1124,Kindai University,1949.0,,7
1125,University of San Andrés,1988.0,,6
1126,University of Hawaiʻi–West Oʻahu,1976.0,,7
1127,University of Mazandaran,1979.0,,6
1128,Beijing Information Science & Technology University,1915.0,,5
1129,Rumbek University,2010.0,,6
1130,European University of Tirana,2006.0,,7
1131,University of Tampere,1925.0,,23
1132,China University of Technology,1965.0,,8
1133,Capella University,1993.0,,7
1134,Cherkasy National University,1921.0,,9
1135,University Malaysia Sarawak,1992.0,,8
1136,Cameron University,1908.0,,7
1137,Markaz,1978.0,,7
1138,American University of Central Asia,1993.0,,13
1139,Moscow Aviation Institute,1930.0,,20
1140,University of Manchester,2004.0,,62
1141,Ahfad University for Women,1966.0,,6
1142,Asian Institute of Technology,1959.0,,9
1143,Pyongyang University of Music and Dance,1972.0,,9
1144,Waterford Institute of Technology,1970.0,,5
1145,Zhongnan University of Economics and Law,1948.0,,9
1146,Hazara University,2001.0,,5
1147,University of Kentucky,1865.0,,35
1148,Medical University of Innsbruck,2004.0,,11
1149,Saratov State University,1909.0,,19
1150,Guilin Medical University,1935.0,,5
1151,University of Paris,1150.0,,5
1152,Khalifa University,2007.0,,11
1153,National University of the Northeast,1956.0,,5
1154,West Virginia University Institute of Technology,1895.0,,5
1155,Luigj Gurakuqi University,1957.0,,10
1156,Nanjing Normal University,1902.0,,15
1157,Beijing International Studies University,1964.0,,9
1158,Tokyo University of Science,1881.0,,14
1159,"National University of Theatre, Film and TV in Kyiv",1904.0,,9
1160,Pedagogical and Technological University of Colombia,1953.0,,6
1161,Hitotsubashi University,1875.0,,21
1162,Thomas Jefferson University,1824.0,,13
1163,University of Tifariti,2013.0,,6
1164,Gabriela Mistral University,1981.0,,5
1165,Babol University of Medical Sciences,1962.0,,8
1166,Banaras Hindu University,1916.0,,36
1167,Teesside University,1930.0,,10
1168,Western Governors University,1997.0,,5
1169,Ukrainian Engineering Pedagogics Academy,1958.0,,5
1170,Payap University,1974.0,,6
1171,Garissa University,2011.0,,13
1172,University of Twente,1961.0,,26
1173,South Central Minzu University,1951.0,,6
1174,University of Urbino,1506.0,,18
1175,Atal Bihari Vajpayee Hindi University,2011.0,,8
1176,Universiti Malaysia Kelantan,2006.0,,5
1177,Poltava National Technical Yuriy Kondratyuk University,1930.0,,7
1178,Ukhta State Technical University,1958.0,,7
1179,Guangxi Normal University,1932.0,,11
1180,Hue University,1957.0,,7
1181,Azerbaijan University of Languages,1973.0,,10
1182,Belhaven University,1883.0,,5
1183,Ardabil University of Medical Sciences,1993.0,,5
1184,Technical University of Gabrovo,1964.0,,6
1185,Jeonbuk National University,1947.0,,10
1186,Gifu Pharmaceutical University,1949.0,,7
1187,Vaal University of Technology,1966.0,,6
1188,Chia Nan University of Pharmacy and Science,1966.0,,5
1189,University of Brighton,1992.0,,21
1190,American University in Dubai,1995.0,,9
1191,Bournemouth University,1992.0,,14
1192,Chiang Mai University,1964.0,,21
1193,Glasgow Caledonian University,1993.0,,22
1194,Aletheia University,1882.0,,6
1195,University of Nariño,1904.0,,6
1196,Ewha Womans University,1886.0,,25
1197,American University of Paris,1962.0,,11
1198,Bath Spa University,1975.0,,13
1199,Petra Christian University,1961.0,,5
1200,Tbilisi State Academy of Arts,1922.0,,11
1201,University of Guyana,1963.0,,14
1202,Tsuda University,1900.0,,9
1203,University of L'Aquila,1596.0,,12
1204,Daniel Alcides Carrión National University,1965.0,,6
1205,The Robert Gordon University,1750.0,,21
1206,Henderson State University,1890.0,,5
1207,University of Western Australia,1911.0,,40
1208,Tver State University,1870.0,,11
1209,University of Teacher Education Fukuoka,1949.0,,6
1210,American University of Armenia,1991.0,,19
1211,Al-Quds University,1977.0,,14
1212,University of the Amazon,1993.0,,5
1213,Saint Louis University,1818.0,,19
1214,Rangsit University,1986.0,,9
1215,Karaganda State University,1972.0,,10
1216,Universidad Americana,1994.0,,9
1217,Ryazan State Medical University,1943.0,,5
1218,Nanjing University of Aeronautics and Astronautics,1952.0,,8
1219,Ho Chi Minh City University of Law,1976.0,,5
1220,University of the Ryukyus,1950.0,,12
1221,Southwest Minzu University,1951.0,,10
1222,Maulana Azad Medical College,1956.0,,7
1223,Kharkiv National Agrarian University named after V.V. Dokuchayev,1816.0,,6
1224,DePaul University,1898.0,,22
1225,University Joseph Ki-Zerbo,1974.0,,16
1226,Academy of Public Administration,1991.0,,11
1227,University of Ferrara,1391.0,,26
1228,St. Ambrose University,1882.0,,5
1229,Assiut University,1957.0,,9
1230,Middlesex University,1973.0,,25
1231,Accademia Nazionale d'Arte Drammatica Silvio D'Amico,1936.0,,7
1232,Baltic University,1946.0,,8
1233,Ain Shams University,1950.0,,22
1234,Southern Leyte State University,2004.0,,5
1235,Lagos State University,1983.0,,11
1236,Rajiv Gandhi University,1984.0,,11
1237,School for Creative and Performing Arts,1973.0,,5
1238,National Formosa University,1980.0,,8
1239,Southern Polytechnic State University,1948.0,,6
1240,University of Zurich,1833.0,,61
1241,North-Eastern Federal University,1934.0,,17
1242,Khmelnytskyi National University,1962.0,,9
1243,"Ambedkar University, Delhi",2007.0,,7
1244,Santa Clara University,1851.0,,21
1245,Alfred Nobel University,1993.0,,8
1246,Cheyney University of Pennsylvania,1837.0,,6
1247,St. Cloud State University,1869.0,,12
1248,University of Hradec Králové,1964.0,,10
1249,University of Oradea,1780.0,,8
1250,Hungarian University of Agriculture and Life Sciences,2000.0,,13
1251,Kalaburagi University,1980.0,,8
1252,Southeastern University,1935.0,,6
1253,CY Cergy Paris University,2020.0,,5
1254,"California State University, Fullerton",1957.0,,12
1255,"All India Institute of Ayurveda, Delhi",2016.0,,5
1256,University of Santiago de Cali,,,5
1257,University of San Francisco,1855.0,,21
1258,University of Gastronomic Sciences,2004.0,,10
1259,University of Life Sciences in Poznań,1951.0,,9
1260,Gakushuin University,1949.0,,20
1261,Sevastopol State University,1951.0,,6
1262,Classic Private University,1992.0,,5
1263,TU Wien,1815.0,,38
1264,Ulsan National Institute of Science and Technology,2009.0,,7
1265,"California State University, Bakersfield",1965.0,,9
1266,Maastricht University,1976.0,,40
1267,University of Macerata,1290.0,,15
1268,Kalmyk State University,1970.0,,14
1269,International Open University,2001.0,,6
1270,National Polytechnic Institute of Lorraine,1970.0,,5
1271,University of Camerino,1336.0,,16
1272,Njala University,1964.0,,6
1273,Franciscan University of Steubenville,1946.0,,5
1274,Industrial and Mining Water Research Unit,2011.0,,10
1275,University of Abertay Dundee,1888.0,,16
1276,Ural State University of Economics,1967.0,,7
1277,International Hellenic University,2005.0,,8
1278,Arizona State University,1885.0,,40
1279,Università della Svizzera italiana,1996.0,,21
1280,Kyrgyz-Russian Slavic University,1992.0,,8
1281,Hankuk University of Foreign Studies,1954.0,,24
1282,University of Wisconsin–River Falls,1874.0,,5
1283,Kettering University,,,6
1284,Kannada University,1991.0,,8
1285,King George's Medical University,1911.0,,6
1286,Northwest Missouri State University,1905.0,,6
1287,Odesa State Academy of Civil Engineering and Architecture,1930.0,,6
1288,Odesa National Academy of Telecommunications,1900.0,,5
1289,University of Saint Joseph,1932.0,,6
1290,Hungarian University of Fine Arts,1871.0,,16
1291,Al-Madinah International University,2006.0,,9
1292,Northwest University of Politics and Law,1937.0,,6
1293,Egyptian Russian University,2006.0,,8
1294,Izhevsk State Medical Academy,1933.0,,6
1295,Izhevsk State Agricultural Academy,1931.0,,5
1296,Shihezi University,1949.0,,8
1297,Hyogo University of Teacher Education,1978.0,,5
1298,"Islamic Fiqh Academy, India",1989.0,,7
1299,University of Groningen,1614.0,,55
1300,Nagoya University,1939.0,,43
1301,Hanoi College of Fine Arts,1925.0,,5
1302,American University of Madaba,2005.0,,6
1303,Elizabeth City State University,1891.0,,7
1304,Kansai Gaidai University,1945.0,,6
1305,I.M. Sechenov First Moscow State Medical University,1758.0,,17
1306,Institut d'études politiques de Saint-Germain-en-Laye,2013.0,,18
1307,"California State University, Stanislaus",1957.0,,5
1308,UCSI University,1986.0,,7
1309,Antenor Orrego Private University,1988.0,,7
1310,Perm State Medical Academy,1916.0,,7
1311,California Institute of Technology,1891.0,,81
1312,University of Nebraska–Lincoln,1869.0,,27
1313,"University ""Marta Abreu"" of Las Villas",1952.0,,7
1314,Nara Institute of Science and Technology,1991.0,,9
1315,National University of San Antonio Abad in Cuzco,1692.0,,10
1316,Baku Slavic University,1946.0,,16
1317,Pontifical Catholic University of Chile,1888.0,,34
1318,Université de Douala,1977.0,,7
1319,State University of Management,1919.0,,6
1320,Kamianets-Podilskyi Ivan Ohiienko National University,1918.0,,9
1321,Mohamed bin Zayed University of Artificial Intelligence,2019.0,,5
1322,St. George's University,1976.0,,9
1323,Ionian University,1984.0,,13
1324,University of North Korean Studies,1997.0,,5
1325,Shimonoseki City University,1956.0,,6
1326,Helwan University,1975.0,,12
1327,Dhurakij Pundit University,1968.0,,6
